BEAT,IN,OUT,SECONDS,BLOCK,ASSET,NARRATION,ON_SCREEN_COPY,FOCUS_CUES,TRANSITION_OUT,PROOF_CLASS,SOURCE_ISSUE_OR_RUN,STATE,REPLACEMENT_NOTES
"T03","00:00.0","00:08.0","8.0","COLD_OPEN","media/hac-336/frames/B04-IL-PROOF-020-baseline.png","Two changes. Each valid on its own. Together, 140 against a bound of 130.","140 > 130 at display size, marked INVALID JOINT STATE.","NONE","HARD_CUT","Statement of the hazard. Frames carry the CONTROLLED LOCAL EXPERIMENT banner and their own non-claim footer.","HAC-336 B04 | HAC-330 controlled local experiment","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T04","00:08.0","00:37.0","29.0","FORENSIC_REPLAY","media/hac-350/exports/IL-MOT-021-forensic-replay-1920x1080.mp4","Rewind. Locking the same target serializes correctly. Two different targets, two different locks - both correct, and the hazard spans them. The bound is a property of the environment; no per-key lock takes it as input. The hazard lives in the relationship between the files, and that relationship is in the repository history. Interlock reads it before the mutation, and withholds. Remove the evidence, and the invalid result returns.","S1 joint invalid 140 / S2 either alone 120 / S3 same-target serialized / S4 two locks, hazard spans both / S5 environmental ceiling / S6 repository relationship / S7 withheld, 120 / S8 evidence removed, 140 returns.","NONE - locked artifact","HARD_CUT","Deterministic rendering of HAC-343/HAC-330 recorded results. Renders facts, owns none.","HAC-350 | Canonical deterministic export. sha256 46ac324caa5e3a626569888e36751ffe209ae408e2770c93a7bb976bd6f0a68d, 900 frames, 30.000s.","FINAL","CONSUME THE CANONICAL EXPORT. Do not screen-record, re-render, reconstruct from stills, or apply any focus cue. The only permitted edit is the out-point at 29.000s."
"T05","00:37.0","00:49.5","12.5","COMPARISON_ABLATION","media/hac-336/frames/B07-IL-PROOF-021-comparison.png","A global lock stays safe by serializing everything. A credible per-target lock preserves concurrency, but still misses both hazards, because they span different targets.","Uncoordinated 2/2, 2/2. Global lock 0/2, 0/2. Per-target lock 2/2, 2/2. Interlock 0/2, 2/2. A3 credibility: serialized 2/2, parallelized 4/4, missed 2/2.","00:37.0 WIDE | 00:41.5 DIM keep y280-610 -> the four strategy rows and both count columns | 00:45.5 DIM keep y630-785 -> is the per-target lock a real lock? 2/2, 4/4, 2/2 | 00:48.2 WIDE","CROSSFADE_0.4","PROVEN IN CONTROLLED EVALUATION - HAC-343, frozen sixteen-scenario corpus.","HAC-336 B07 | HAC-343 judge-export panel1","FINAL","T05 and T06 are one contiguous visual unit. Do not separate them, do not put anything between them."
"T06","00:49.5","01:03.5","14.0","COMPARISON_ABLATION","media/hac-336/frames/B08-IL-PROOF-021-ablation.png","Interlock uses composition evidence instead: it withheld both hazardous pairs while keeping both independent pairs parallel. Then we removed the coupling signal from the frozen evidence. Same actions, same core - the decision flipped, and both invariants failed. The evidence is load-bearing.","Panel 1 retained above; ablation panel immediately below. Evidence present 0/2 invalid, ALLOW_SERIALIZED / WITHHOLD_SERIALIZE. Evidence removed 2/2 invalid, ALLOW_PARALLEL.","00:49.5 WIDE | 00:52.5 DIM keep y280-635 -> the table, ending on the Interlock row | 00:56.5 DIM keep y650-850 -> evidence present 0/2 invalid vs evidence removed 2/2 invalid | 01:02.0 WIDE","HARD_CUT_REQUIRED","PROVEN IN CONTROLLED EVALUATION - HAC-343, frozen sixteen-scenario corpus.","HAC-336 B08 | HAC-343 judge-export panel2","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T07","01:03.5","01:09.0","5.5","PROOF_CLASS_RESET","media/hac-336/frames/B09-IL-SCAF-020-reset.png","That was controlled evaluation. What follows is a separate deployed run.","Field inverts paper to ink. Different run. Different evidence. Nothing crosses.","NONE","HARD_CUT_REQUIRED","Proof-class boundary. Carries no evidence of its own.","HAC-336 B09 | no evidence asserted","FINAL","Hard cut in and out. No crossfade may bridge a proof class."
"T08","01:09.0","01:25.0","16.0","CLOUD_TRAVERSAL","media/hac-336/frames/B10-scene-gemini-adk-attribution.png","The deployed Cloud Run agent reads back its own configuration: gemini-3.5-flash, through Google ADK 1.35.1 with Vertex AI access, from an image pinned to the runtime source commit.","gemini-3.5-flash - Google ADK 1.35.1 / Vertex AI - image pinned at runtimeSourceSha ae6d0d3c405b6169d5f0495c22aaf05d8fc1de4a","01:09.0 WIDE | 01:13.5 PUNCH [x380 y302 w960 h540] -> INTERLOCK_GEMINI_MODEL gemini-3.5-flash, GOOGLE_GENAI_USE_VERTEXAI, and the pinned image interlock-adk:ae6d0d3 | 01:22.5 WIDE","CROSSFADE_0.4","PROVEN ON GOOGLE CLOUD - HAC-324 authoritative filmed run ilk-hac340-cloud-1787536029323.","HAC-324 filmed run | live Cloud Run config read-back, run ilk-hac340-cloud-1787536029323","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T09","01:25.0","01:36.5","11.5","CLOUD_TRAVERSAL","media/hac-336/frames/B11-scene-cloud-run-topology.png","Three Cloud Run services carried the run in us-central1: the ADK agent, the Interlock MCP proxy, and the protected target.","interlock-hac340-agent-00001-hbk / interlock-hac340-proxy-00001-s76 / interlock-hac340-target-00001-sng, us-central1","01:25.0 WIDE | 01:28.5 DIM keep y475-645 -> the three revisions, ACTIVE yes, and their deploy times | 01:34.5 WIDE","CROSSFADE_0.4","PROVEN ON GOOGLE CLOUD - HAC-324 authoritative filmed run ilk-hac340-cloud-1787536029323.","HAC-324 filmed run | live Cloud Run services and revisions","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T10","01:36.5","01:57.5","21.0","CLOUD_TRAVERSAL","media/hac-336/frames/B12-scene-agent-traversal.png","The traversal executed while this frame was captured. Interlock returned ALLOW with a receipt digest under one correlation id. Three fail-closed controls on the same run: a forged identity header returned 403, an invalid bearer token 401, a direct call with no receipt, 403.","$ node experiments/hac-340/bin/20-cloud-run.mjs - correlationId ilk-hac340-cloud-1787536029323 - decision ALLOW - receiptDigest sha256:7fb65efe... - controls 403 / 401 / 403","01:36.5 WIDE | 01:45.5 DIM keep y375-500 -> correlationId, decision ALLOW, receiptDigest - DIM not PUNCH so the digest is never truncated | 01:50.0 PUNCH [x200 y495 w800 h450] -> forgedHeaderStatus 403, wrongAudienceStatus 401, directBypassStatus 403 | 01:55.5 WIDE","CROSSFADE_0.4","PROVEN ON GOOGLE CLOUD - HAC-324 authoritative filmed run ilk-hac340-cloud-1787536029323.","HAC-324 filmed run | live agent traversal executed during capture; stdout sha256 8caec2d4782634bf, exit 0","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T11","01:57.5","02:10.0","12.5","RECEIPT_EFFECT_OBSERVATION","media/hac-336/frames/B13-scene-receipt-mutation-observation-executed.png","The protected mutation is EXECUTED against that receipt. The resulting invariant on the target is 105 against a bound of 130.","status EXECUTED - revisionBefore -> revisionAfter - total 105 <= 130","01:57.5 WIDE | 02:01.0 DIM keep y455-560 -> status EXECUTED, revisionBefore, revisionAfter - full-bleed hashes, so DIM | 02:05.0 DIM keep y570-760 -> invariant holds true, total 105, detail total 105 <= 130 | 02:08.5 WIDE","CROSSFADE_0.4","PROVEN ON GOOGLE CLOUD - HAC-324 authoritative filmed run ilk-hac340-cloud-1787536029323.","HAC-324 filmed run | evidence packet emitted by the traversal","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
"T12","02:10.0","02:24.5","14.5","RECEIPT_EFFECT_OBSERVATION","media/hac-336/frames/B14-scene-receipt-mutation-observation-observed.png","EXECUTED is not OBSERVED. A separately authenticated, keyless observer service account read the target back at the post-mutation revision and observed alpha at 45. Two records, not one: the model's own output declares nothing.","OBSERVED alpha=45 - observer serviceAccount:interlock-hac340-observer@... distinct from the provisioning operator","02:10.0 WIDE | 02:14.0 DIM keep y325-370 -> revision - the post-mutation revision the observer read at | 02:17.5 PUNCH [x0 y380 w800 h450] -> alpha 45, beta 40, gamma 20 | 02:23.0 WIDE","CROSSFADE_0.4","PROVEN ON GOOGLE CLOUD - HAC-324 authoritative filmed run ilk-hac340-cloud-1787536029323.","HAC-324 filmed run | independent authenticated read-back","FINAL","None. Replace only if HAC-324 hardening re-derives the source asset."
